ISO,Country,NDC,Date,Climate.Watch.HTML.File
AFG,Afghanistan,1,11/23/16,AFG-first_ndc-EN.html
AGO,Angola,1,11/16/20,AGO-first_ndc-EN.html
AGO,Angola,2,5/31/21,AGO-revised_first_ndc-EN.html
ALB,Albania,1,9/21/16,ALB-first_ndc-EN.html
ALB,Albania,2,10/12/21,ALB-revised_first_ndc-EN.html
AND,Andorra,1,3/24/17,AND-first_ndc-EN_TR.html
AND,Andorra,2,5/20/20,AND-revised_first_ndc-EN_TR.html
ARE,United Arab Emirates,1,9/21/16,ARE-first_ndc-EN.html
ARE,United Arab Emirates,2,12/29/20,ARE-second_ndc-EN.html
ARG,Argentina,1,11/17/16,ARG-first_ndc-EN.html
ARG,Argentina,2,11/2/21,ARG-second_ndc-EN_TR.html
ARM,Armenia,1,3/23/17,ARM-first_ndc-EN.html
ARM,Armenia,2,5/5/21,ARM-revised_first_ndc-EN.html
ATG,Antigua and Barbuda,1,9/21/16,ATG-first_ndc-EN.html
ATG,Antigua and Barbuda,2,9/2/21,ATG-revised_first_ndc-EN.html
AUS,Australia,1,11/9/16,AUS-first_ndc-EN.html
AUS,Australia,2,6/16/22,AUS-revised_first_ndc-EN-XL.html
AUT,European Union,1,10/5/16,AUT-first_ndc-EN-EU28.html
AUT,European Union,2,12/18/20,AUT-revised_first_ndc-EN.html
AZE,Azerbaijan,1,1/9/17,AZE-first_ndc-EN.html
AZE,Azerbaijan,2,10/10/23,AZE-revised_first_ndc-EN.html
BDI,Burundi,1,1/17/18,BDI-first_ndc-EN.html
BDI,Burundi,2,10/5/21,BDI-revised_first_ndc-EN_TR.html
BEN,Benin,1,10/11/17,BEN-first_ndc-EN_TR.html
BEN,Benin,2,10/12/21,BEN-revised_first_ndc-EN_TR.html
BFA,Burkina Faso,1,11/11/16,BFA-first_ndc-EN.html
BFA,Burkina Faso,2,10/9/21,BFA-revised_first_ndc-EN_TR.html
BGD,Bangladesh,1,9/21/16,BGD-first_ndc-EN.html
BGD,Bangladesh,2,8/26/21,BGD-revised_first_ndc-EN.html
BHR,Bahrain,1,12/30/16,BHR-first_ndc-EN.html
BHR,Bahrain,2,10/18/21,BHR-revised_first_ndc-EN.html
BHS,Bahamas,1,10/31/16,BHS-first_ndc-EN.html
BIH,Bosnia and Herzegovina,1,3/16/17,BIH-first_ndc-EN.html
BIH,Bosnia and Herzegovina,2,4/20/21,BIH-revised_first_ndc-EN.html
BLR,Belarus,1,9/21/16,BLR-first_ndc-EN.html
BLR,Belarus,2,10/11/21,BLR-revised_first_ndc-EN.html
BLZ,Belize,1,4/20/16,BLZ-first_ndc-EN.html
BLZ,Belize,2,9/1/21,BLZ-revised_first_ndc-EN.html
BOL,Bolivia,1,10/5/16,BOL-first_ndc-EN.html
BOL,Bolivia,2,4/15/22,BOL-second_ndc-EN.html
BRA,Brazil,1,9/21/16,BRA-first_ndc-EN.html
BRA,Brazil,2,4/7/22,BRA-revised_first_ndc-EN.html
BRB,Barbados,1,4/22/16,BRB-first_ndc-EN.html
BRB,Barbados,2,7/30/21,BRB-revised_first_ndc-EN.html
BRN,Brunei Darussalam,1,12/31/20,BRN-first_ndc-EN.html
BTN,Bhutan,1,9/19/17,BTN-first_ndc-EN.html
BTN,Bhutan,2,6/24/21,BTN-second_ndc-EN.html
BWA,Botswana,1,11/11/16,BWA-first_ndc-EN.html
CAF,Central African Republic,1,10/11/16,CAF-first_ndc-EN.html
CAF,Central African Republic,2,1/24/22,CAF-revised_first_ndc-EN.html
CAN,Canada,1,5/11/17,CAN-first_ndc-EN.html
CAN,Canada,2,7/12/21,CAN-revised_first_ndc-EN.html
CHE,Switzerland,1,10/6/17,CHE-first_ndc-EN.html
CHE,Switzerland,2,12/17/21,CHE-revised_first_ndc-EN.html
CHL,Chile,1,2/10/17,CHL-first_ndc-EN.html
CHL,Chile,2,4/9/20,CHL-revised_first_ndc-EN.html
CHN,China,1,9/3/16,CHN-first_ndc-EN.html
CHN,China,2,10/28/21,CHN-revised_first_ndc-EN.html
CIV,Cote d'Ivoire,1,10/25/16,CIV-first_ndc-EN_TR.html
CIV,Cote d'Ivoire,2,5/9/22,CIV-revised_first_ndc-EN.html
CMR,Cameroon,1,7/29/16,CMR-first_ndc-EN_TR.html
CMR,Cameroon,2,10/11/21,CMR-revised_first_ndc-EN-TR.html
COD,DR Congo,1,12/13/17,COD-first_ndc-EN_TR.html
COD,DR Congo,2,12/28/21,COD-revised_first_ndc-EN_TR.html
COG,Congo,1,4/21/17,COG-first_ndc-EN_TR.html
COG,Congo,2,8/2/21,COG-revised_first_ndc-EN_TR.html
COK,Cook Islands,1,9/1/16,COK-first_ndc-EN.html
COL,Colombia,1,7/12/18,COL-first_ndc-EN.html
COL,Colombia,2,12/30/20,COL-revised_first_ndc-EN_TR.html
COM,Comoros,1,11/23/16,COM-first_ndc-EN_TR.html
COM,Comoros,2,11/5/21,COM-revised_first_ndc-EN_TR.html
CPV,Cabo Verde,1,9/21/17,CPV-first_ndc-EN.html
CPV,Cabo Verde,2,4/2/21,CPV-revised_first_ndc-EN.html
CRI,Costa Rica,1,10/13/16,CRI-first_ndc-EN.html
CRI,Costa Rica,2,12/29/20,CRI-revised_first_ndc-EN_TR.html
CUB,Cuba,1,12/30/16,CUB-first_ndc-EN_TR.html
CUB,Cuba,2,9/17/20,CUB-revised_first_ndc-EN_TR.html
DJI,Djibouti,1,11/11/16,DJI-first_ndc-EN.html
DMA,Dominica,1,9/21/16,DMA-first_ndc-EN.html
DMA,Dominica,2,7/4/22,DMA-revised_first_ndc-EN.html
DOM,Dominican Republic,1,9/21/17,DOM-first_ndc-EN.html
DOM,Dominican Republic,2,12/29/20,DOM-revised_first_ndc-EN_TR.html
DZA,Algeria,1,10/20/16,DZA-first_ndc-EN.html
