Topic,Keyword
climate change,global warming
climate change,ocean warming
climate change,acidification
climate change,sea-level rise
climate change,deoxygenation
climate change,ice melt
climate change,natural disasters
coastal impacts,coast
coastal impacts,coastal development
coastal impacts,sea-level
coastal impacts,marsh
coastal impacts,mangrove
coastal impacts,wetland
coastal impacts,estuary
coastal impacts,turbidity
coastal impacts,hurricane
coastal impacts,tsunami
ocean ecosystems,marine
ocean ecosystems,oxygen
ocean ecosystems,deoxygenation
ocean ecosystems,sea
ocean ecosystems,ocean
ocean ecosystems,coral
ocean ecosystems,eutrophication
ocean ecosystems,reef
ocean ecosystems,deep ocean
ocean ecosystems,acidification
ocean ecosystems,seagrass
ocean ecosystems,hypoxia
ocean ecosystems,arctic
ocean ecosystems,antarctic
ocean ecosystems,kelp forest
ocean ecosystems,pelagic
ocean ecosystems,benthos
biodiversity,mangrove
biodiversity,coral
biodiversity,wetland
biodiversity,habitat loss
biodiversity,marine mammals
biodiversity,plankton
biodiversity,algae
biodiversity,algal bloom
biodiversity,endangered species
biodiversity,sargassum
biodiversity,fish
biodiversity,seabirds
pollutants/waste,plastics
pollutants/waste,microplastics
pollutants/waste,persistant organic pollutants
pollutants/waste,contaminants
pollutants/waste,heavy metals
pollutants/waste,oil spills
pollutants/waste,sediment
pollutants/waste,sanitation
pollutants/waste,sewage
pollutants/waste,wastewater
fisheries,aquaculture
fisheries,bycatch
fisheries,overfishing
fisheries,seafood industry
fisheries,trawling
fisheries,long-line fisheries
industry,maritime
industry,oil
industry,offshore
industry,fertilizers
industry,oil drilling
industry,fracking
industry,underwater noise
industry,commercial shipping
industry,exploitation
industry,ecotourism
blue economy,blue carbon
blue economy,offshore wind
policy,resource management
policy,conservation
policy,sustanability
policy,marine protected areas
policy,coastal development
policy,marine research
policy,funding
policy,international waters
policy,law
policy,protected species
policy,justice
policy,small island developing nations
policy,SIDS
policy,jurisdiction
policy,enforcement
policy,disaster relief
